fact_check_id,claim,instances,title,full_text
8144,'ฮ.พม่า'โดนสอยร่วงในรัฐคะฉิ่น นักบิน-ผู้โดยสารเสียชีวิต?,['https://factcheckthailand.afp.com/these-photos-show-downing-syrian-military-helicopter-february-2020-th#599efd24bef41a815d0568b470968af0'],นี่เป็นภาพเครื่องบินเฮลิคอปเตอร์ของกองทัพซีเรียที่ถูกยิงตกในเดือนกุมภาพันธ์ 2563,นี่เป็นภาพเครื่องบินเฮลิคอปเตอร์ของกองทัพซีเรียที่ถูกยิงตกในเดือนกุมภาพันธ์ 2563 'ฮ.พม่า'โดนสอยร่วงในรัฐคะฉิ่น นักบิน-ผู้โดยสารเสียชีวิต?
8145,'เซเลนสกี' เผลอใส่เสื้อติดเครื่องหมายนาซีแบบฮิตเลอร์,['https://factcheckthailand.afp.com/doc.afp.com.326P7QV#589479779b2ad22a616da6bd56a1c79e'],ภาพของเซเลนสกีระหว่างการกล่าวสุนทรพจน์ต่อสภาคองเกรสสหรัฐฯ ถูกแชร์พร้อมคำกล่าวอ้างเท็จว่าเขาใส่เสื้อที่มีเครื่องหมายนาซี,ภาพของเซเลนสกีระหว่างการกล่าวสุนทรพจน์ต่อสภาคองเกรสสหรัฐฯ ถูกแชร์พร้อมคำกล่าวอ้างเท็จว่าเขาใส่เสื้อที่มีเครื่องหมายนาซี 'เซเลนสกี' เผลอใส่เสื้อติดเครื่องหมายนาซีแบบฮิตเลอร์
8857,11ข้อคิด บิลเกตส์,['https://factcheckthailand.afp.com/11-khkhidthiiaimmiisnainorngeriiyn-aimaidmaacchaakbil-ekts#543c6592cc140ccf7ffcc1aa8d5536fa'],"""11 ข้อคิดที่ไม่มีสอนในโรงเรียน"" ไม่ได้มาจากบิล เกตส์","""11 ข้อคิดที่ไม่มีสอนในโรงเรียน"" ไม่ได้มาจากบิล เกตส์ 11ข้อคิด บิลเกตส์"
10587,6 สิ่งที่ควรทำก่อนฉีดวัคซีนโควิด-19,['https://factcheckthailand.afp.com/facebook-posts-give-false-advice-how-prepare-covid-19-vaccination-th#76d74692e27c0954248fc9511bd8cf36'],คำแนะนำเท็จเรื่องการเตรียมตัวก่อนฉีดวัคซีนโควิด-19 ถูกแชร์ในโพสต์ทางเฟซบุ๊ก,คำแนะนำเท็จเรื่องการเตรียมตัวก่อนฉีดวัคซีนโควิด-19 ถูกแชร์ในโพสต์ทางเฟซบุ๊ก 6 สิ่งที่ควรทำก่อนฉีดวัคซีนโควิด-19
20642,ATK มันแค่อุปกรณ์ตรวจแอนตี้บอดี้ ไม่ได้สามารถระบุไวรัส,['https://factcheckthailand.afp.com/doc.afp.com.323N6F8#917b3e300353d133fde9d116a677178e'],โพสต์แชร์คำกล่าวอ้างเท็จเกี่ยวกับชุดตรวจโรคโควิด-19,โพสต์แชร์คำกล่าวอ้างเท็จเกี่ยวกับชุดตรวจโรคโควิด-19 atk มันแค่อุปกรณ์ตรวจแอนตี้บอดี้ ไม่ได้สามารถระบุไวรัส
33944,CEO ของ Moderna ขายหุ้นมูลค่า $400 ล้านดอลลาร์ทิ้ง พร้อมกับลบบัญชี Twitter,['https://factcheckthailand.afp.com/doc.afp.com.323L7XW#6ddfef3ab38348e4b21dba469b93fca5'],ซีอีโอของโมเดอร์นาไม่ได้ขายหุ้นมูลค่ากว่า $400 ล้าน ในเดือนกุมภาพันธ์ 2565,ซีอีโอของโมเดอร์นาไม่ได้ขายหุ้นมูลค่ากว่า $400 ล้าน ในเดือนกุมภาพันธ์ 2565 ceo ของ moderna ขายหุ้นมูลค่า $400 ล้านดอลลาร์ทิ้ง พร้อมกับลบบัญชี twitter
33945,CEO ของบริษัทไฟเซอร์ ยังไม่ได้รับการฉีดวัคซีน,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9ME924-1#b7e5bc369931ad18765343fece74c288'],ซีอีโอของไฟเซอร์ฉีดวัคซีนโควิด-19 ครบโดสแล้ว,ซีอีโอของไฟเซอร์ฉีดวัคซีนโควิด-19 ครบโดสแล้ว ceo ของบริษัทไฟเซอร์ ยังไม่ได้รับการฉีดวัคซีน
88461,Merlino ได้รับแต่งตั้งเป็นหัวหน้างานรักษาความปลอดภัยของพระราชวังอักฤษ,['https://factcheckthailand.afp.com/doc.afp.com.329Q6BB#162e1be9ab2651372363bab78b52aeb5'],ภาพถ่ายแมวได้รับการแต่งตั้งยศเป็นอัศวิน เป็นมุขตลกในวันโกหกโลก,ภาพถ่ายแมวได้รับการแต่งตั้งยศเป็นอัศวิน เป็นมุขตลกในวันโกหกโลก merlino ได้รับแต่งตั้งเป็นหัวหน้างานรักษาความปลอดภัยของพระราชวังอักฤษ
99320,PM 2.5 วาสลีน,['https://factcheckthailand.afp.com/kaarthaawaasliinrbruucchmuukaimaidchwykrng-pm25#ba71ab4b24cc16cfe4e8f87d4b388aba'],การทาวาสลีนรอบรูจมูกไม่ได้ช่วยกรอง PM2.5,การทาวาสลีนรอบรูจมูกไม่ได้ช่วยกรอง pm2.5 pm 2.5 วาสลีน
113776,Rick Simpson น้ำมันกัญชาสกัด สามารถใช้รักษาโรคมะเร็ง,['https://factcheckthailand.afp.com/doc.afp.com.32FY2M3#af319a8e34692deba93791d5f6d7ac1f'],สารสกัดจากกัญชาไม่ใช่วิธีรักษาโรคมะเร็งที่ผ่านการรับรอง,สารสกัดจากกัญชาไม่ใช่วิธีรักษาโรคมะเร็งที่ผ่านการรับรอง rick simpson น้ำมันกัญชาสกัด สามารถใช้รักษาโรคมะเร็ง
