fact_check_id,claim,instances,title,full_text
23,"""""Bangkai"" KM Sinar Bangun Ditemukan""",['https://cekfakta.com/focus/174#887aa8fbed71c4d6f63667d7819b6fd3'],"[DISINFORMASI] """"Bangkai"" KM Sinar Bangun Ditemukan""","[disinformasi] """"bangkai"" km sinar bangun ditemukan"" """"bangkai"" km sinar bangun ditemukan"""
118,"""14 TNI diselundupkan ke tanah Arab""",['https://cekfakta.com/focus/241#e81ede7dfd11ca72f1e9e1b944f922c9'],"[DISINFORMASI] ""14 TNI diselundupkan ke tanah Arab""","[disinformasi] ""14 tni diselundupkan ke tanah arab"" ""14 tni diselundupkan ke tanah arab"""
465,"""Ada spanduk ini di Pakanbaru, Riau""",['https://cekfakta.com/focus/386#7fbf8e0d987eab550b0449aa5a52670b'],"[DISINFORMASI] ""Ada spanduk ini di Pakanbaru, Riau""","[disinformasi] ""ada spanduk ini di pakanbaru, riau"" ""ada spanduk ini di pakanbaru, riau"""
501,"""Ahok menjual buku bantu Mako Brimob""",['https://cekfakta.com/focus/306#25b4c458719e79daf1302b834ed00253'],"[DISINFORMASI] ""Ahok menjual buku bantu Mako Brimob""","[disinformasi] ""ahok menjual buku bantu mako brimob"" ""ahok menjual buku bantu mako brimob"""
558,"""Allahu Akbar"" dilantunkan di Italia saat pandemi COVID-19",['https://periksafakta.afp.com/video-ini-menunjukkan-demo-di-hamburg-dan-telah-beredar-online-sejak-bulan-januari-2020#e1956e2015a11abc5905717f2e89113c'],Video ini menunjukkan demo di Hamburg dan telah beredar online sejak bulan Januari 2020,"video ini menunjukkan demo di hamburg dan telah beredar online sejak bulan januari 2020 ""allahu akbar"" dilantunkan di italia saat pandemi covid-19"
561,"""Almarhum Imam Samudra dipindahkan kuburnya""",['https://cekfakta.com/focus/279#dbe531c63b3f81786276ce7c29e7acc2'],"[DISINFORMASI] ""Almarhum Imam Samudra dipindahkan kuburnya""","[disinformasi] ""almarhum imam samudra dipindahkan kuburnya"" ""almarhum imam samudra dipindahkan kuburnya"""
657,"""Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara""",['https://cekfakta.com/focus/131#e187e23019825219b5e11bfc19c7d359'],"[KLARIFIKASI] ""Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara""","[klarifikasi] ""anggaran tempat sampah jerman rp 9,58 m, dinas lh dki buka suara"" ""anggaran tempat sampah jerman rp 9,58 m, dinas lh dki buka suara"""
697,"""Apapun Kelucuan yang Dibuat Rezim Ini Tetap Pokus Dengan 2019gantipresiden""",['https://cekfakta.com/focus/147#97b55df165548e983b57e42aa37b80ac'],"[DISINFORMASI] ""Apapun Kelucuan yang Dibuat Rezim Ini Tetap Pokus Dengan 2019gantipresiden""","[disinformasi] ""apapun kelucuan yang dibuat rezim ini tetap pokus dengan 2019gantipresiden"" ""apapun kelucuan yang dibuat rezim ini tetap pokus dengan 2019gantipresiden"""
820,"""BJ Habibie Mengatakan: ""Lawan Berat Pak PRABOWO itu bukan Jokowi""",['https://cekfakta.com/focus/348#45ae33dc6305c8c26102405fbdff871b'],"[HOAKS] ""BJ Habibie Mengatakan: ""Lawan Berat Pak PRABOWO itu bukan Jokowi""","[hoaks] ""bj habibie mengatakan: ""lawan berat pak prabowo itu bukan jokowi"" ""bj habibie mengatakan: ""lawan berat pak prabowo itu bukan jokowi"""
821,"""BNPB Kecewa Ada yang Sebar Hoax Bantuan Gempa Lombok""",['https://cekfakta.com/focus/356#9363fdf69ee2461b8ea1491eaa8a466a'],"[BERITA] ""BNPB Kecewa Ada yang Sebar Hoax Bantuan Gempa Lombok""","[berita] ""bnpb kecewa ada yang sebar hoax bantuan gempa lombok"" ""bnpb kecewa ada yang sebar hoax bantuan gempa lombok"""
