fact_check_id,claim,instances,title,full_text
455,"""Achtung an alle Neunkirchen und umgebungen"" (sic!): Die Polizei habe ""heute"" an Schulen in Bad Kreuznach auf den Fahrer eines weißen VW-Kleintransporters (""Bulli"") aufmerksam gemacht und Kinder darauf hingewiesen, dass sie nicht in das Fahrzeug einsteigen sollen. Diese Warnung wird seit Jahren über soziale Medien verbreitet. Weil der Fahrer des Wagens ""durch ganz Deutschland"" fahren soll, folgt der dringende Aufruf zum Teilen",['https://www.presseportal.de/pm/133833/4539423#27011f3f580a920d6f210ae4f120c9be'],Gerücht über weißen VW-Kleinbus schon seit Jahren im Umlauf,"passage: gerücht über weißen vw-kleinbus schon seit jahren im umlauf[sep]""achtung an alle neunkirchen und umgebungen"" (sic!): die polizei habe ""heute"" an schulen in bad kreuznach auf den fahrer eines weißen vw-kleintransporters (""bulli"") aufmerksam gemacht und kinder darauf hingewiesen, dass sie nicht in das fahrzeug einsteigen sollen. diese warnung wird seit jahren über soziale medien verbreitet. weil der fahrer des wagens ""durch ganz deutschland"" fahren soll, folgt der dringende aufruf zum teilen"
803,"""Aufruf für die Kirche und für die Welt an Katholiken und alle Menschen guten Willens"": ""Mächte der Finsternis"" wollen eine ""Weltregierung"" schaffen, die sich ""jeder Kontrolle"" entziehe. Jahrhunderte der christlichen Zivilisation sollen ""unter dem Vorwand eines Virus ausgelöscht werden, um eine verabscheuungswürdige technokratische Tyrannei aufzurichten"".","['https://www.br.de/nachrichten/deutschland-welt/missbrauchter-glaube-corona-falschinformationen-in-kirchen,S2uUa2E#89390e5832671480abe5e02fc980de8f']",Missbrauchter Glaube: Corona-Falschinformationen in Kirchen,"passage: missbrauchter glaube: corona-falschinformationen in kirchen[sep]""aufruf für die kirche und für die welt an katholiken und alle menschen guten willens"": ""mächte der finsternis"" wollen eine ""weltregierung"" schaffen, die sich ""jeder kontrolle"" entziehe. jahrhunderte der christlichen zivilisation sollen ""unter dem vorwand eines virus ausgelöscht werden, um eine verabscheuungswürdige technokratische tyrannei aufzurichten""."
923,"""Bevor Sie bei sich selbst eine schwere Depression oder Antriebsschwäche diagnostizieren, stellen Sie sicher, dass Sie nicht komplett von Arschlöchern umgeben sind"" ist ein Zitat von Sigmund Freud.","['https://dpa-factchecking.com/germany/220613-99-648470#08f800846d2eb88f252b18ad018294ac', 'https://dpa-factchecking.com/germany/220613-99-648470/#08f800846d2eb88f252b18ad018294ac']","Keine Belege, dass «Arschlöcher»-Ausspruch von Sigmund Freud stammt","passage: keine belege, dass «arschlöcher»-ausspruch von sigmund freud stammt[sep]""bevor sie bei sich selbst eine schwere depression oder antriebsschwäche diagnostizieren, stellen sie sicher, dass sie nicht komplett von arschlöchern umgeben sind"" ist ein zitat von sigmund freud."
968,"""Bild"" berichtete über Hausbrand verursacht durch ukrainische Geflüchtete",['https://faktencheck.afp.com/doc.afp.com.32AL4E4#9500280686b07000918b942da1faad26'],Diese “Bild”-Berichte über ukrainische Flüchtlinge als Brandverursacher sind gefälscht,"passage: diese “bild”-berichte über ukrainische flüchtlinge als brandverursacher sind gefälscht[sep]""bild"" berichtete über hausbrand verursacht durch ukrainische geflüchtete"
969,"""Bild"" gab ein altes Foto einer Gasexplosion als aktuelles Ukrainebild aus.",['https://faktencheck.afp.com/doc.afp.com.324C2ZD#e1e4e3dfc7fb022b0301bbb0e7f59054'],"Dieses von ""Bild"" gezeigte Foto stammt tatsächlich aktuell aus der Ukraine","passage: dieses von ""bild"" gezeigte foto stammt tatsächlich aktuell aus der ukraine[sep]""bild"" gab ein altes foto einer gasexplosion als aktuelles ukrainebild aus."
1381,"""Das Medianalter der Verstorbenen liegt in den meisten Ländern (inklusive Italien) bei über 80 Jahren und nur circa 4% der Verstorbenen hatten keine ernsthaften Vorerkrankungen. Das Sterbeprofil entspricht damit im Wesentlichen der normalen Sterblichkeit.""","['https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-wie-glaubwuerdig-ist-swiss-policy-research,S128XLH#876cb40a518549809f4c85231b617bf8']","#Faktenfuchs: Wie glaubwürdig ist ""Swiss Policy Research""?","passage: #faktenfuchs: wie glaubwürdig ist ""swiss policy research""?[sep]""das medianalter der verstorbenen liegt in den meisten ländern (inklusive italien) bei über 80 jahren und nur circa 4% der verstorbenen hatten keine ernsthaften vorerkrankungen. das sterbeprofil entspricht damit im wesentlichen der normalen sterblichkeit."""
1439,"""Der Bundesgerichtshof lässt den Glauben an die Viren untergehen"", heißt es in einem mehrere Jahre alten Artikel, der aktuell wieder vermehrt in sozialen Netzwerken verbreitet wird. Angeblich hätten die Richter in einem Beschluss bestätigt, ""dass alle Behauptungen zur Ansteckung von Masern, zu Masern-Impfungen und zum Masern-Virus keine wissenschaftliche Grundlage haben"".",['https://www.presseportal.de/pm/133833/4594445#3a3790dda140e0190ea39749ba4a49d0'],BGH hat keine Entscheidung zur Existenz von Masernviren gefällt,"passage: bgh hat keine entscheidung zur existenz von masernviren gefällt[sep]""der bundesgerichtshof lässt den glauben an die viren untergehen"", heißt es in einem mehrere jahre alten artikel, der aktuell wieder vermehrt in sozialen netzwerken verbreitet wird. angeblich hätten die richter in einem beschluss bestätigt, ""dass alle behauptungen zur ansteckung von masern, zu masern-impfungen und zum masern-virus keine wissenschaftliche grundlage haben""."
1469,"""Die Angst vor einer Knappheit an Beatmungsgeräten war unberechtigt. Laut Lungenfachärzten ist die invasive Beatmung (Intubation) von Covid19-Patienten, die teilweise aus Angst vor dem Virus geschah, zudem oftmals kontraproduktiv und schädigt die Lungen zusätzlich.""","['https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-wie-glaubwuerdig-ist-swiss-policy-research,S128XLH#360e0ad52ad3abc4b210da279a9de095']","#Faktenfuchs: Wie glaubwürdig ist ""Swiss Policy Research""?","passage: #faktenfuchs: wie glaubwürdig ist ""swiss policy research""?[sep]""die angst vor einer knappheit an beatmungsgeräten war unberechtigt. laut lungenfachärzten ist die invasive beatmung (intubation) von covid19-patienten, die teilweise aus angst vor dem virus geschah, zudem oftmals kontraproduktiv und schädigt die lungen zusätzlich."""
1470,"""Die Datenlage erfordert den sofortigen Stopp der Anwendung dieser unnötigen und gesundheitsschädigenden gentechnischen Immunisierungsversuche"", behauptet Sucharit Bhakdi mit seinem Verein MWGFD. Die Covid-19-Impfungen seien ""experimentell und durch nichts zu rechtfertigen, da völlig sinnlos und riskant"".",['https://www.noz.de/lokales/osnabrueck/artikel/stimmt-das-die-behauptungen-der-corona-impfgegner-im-faktencheck-22884427#dd44a96d351bd9f4c53b4dab8a05d520'],Stimmt das? Die Behauptungen der Corona-Impfgegner im Faktencheck,"passage: stimmt das? die behauptungen der corona-impfgegner im faktencheck[sep]""die datenlage erfordert den sofortigen stopp der anwendung dieser unnötigen und gesundheitsschädigenden gentechnischen immunisierungsversuche"", behauptet sucharit bhakdi mit seinem verein mwgfd. die covid-19-impfungen seien ""experimentell und durch nichts zu rechtfertigen, da völlig sinnlos und riskant""."
1471,"""Die Gletscher wachsen weltweit und zwar mit steigendem Tempo"", behaupten Leugner des vom Menschen gemachten Klimawandels im Netz und versuchen, ihre These mit angeblichen Erkenntnissen der US-Weltraumbehörde Nasa zu belegen. ""Die globale Erwärmung wegen CO2 ist tot"", heißt es unter anderem",['https://www.presseportal.de/pm/133833/4488792#ce655634cdcdd951ea4fc3b76c0dcfce'],Klimawandel lässt die Gletscher immer weiter schrumpfen,"passage: klimawandel lässt die gletscher immer weiter schrumpfen[sep]""die gletscher wachsen weltweit und zwar mit steigendem tempo"", behaupten leugner des vom menschen gemachten klimawandels im netz und versuchen, ihre these mit angeblichen erkenntnissen der us-weltraumbehörde nasa zu belegen. ""die globale erwärmung wegen co2 ist tot"", heißt es unter anderem"
1472,"""Die Polizei braucht eure Mithilfe"", heißt es in einem Artikel auf der Seite ""Eilmeldungen.net"". Angeblich werde nach einem fünfjährigen Mädchen gesucht, das in einem Waldgebiet verschwunden ist. Unter dem Artikel ist als Copyright-Hinweis ""Eilmeldungen since 2019"" (deutsch: Eilmeldungen seit 2019) angegeben.",['https://www.presseportal.de/pm/133833/4544837#2c91c768a6c6f1d75940c8f70de50223'],Keine Eilmeldung: Mädchen schon seit 2015 vermisst,"passage: keine eilmeldung: mädchen schon seit 2015 vermisst[sep]""die polizei braucht eure mithilfe"", heißt es in einem artikel auf der seite ""eilmeldungen.net"". angeblich werde nach einem fünfjährigen mädchen gesucht, das in einem waldgebiet verschwunden ist. unter dem artikel ist als copyright-hinweis ""eilmeldungen since 2019"" (deutsch: eilmeldungen seit 2019) angegeben."
1473,"""Die Polizei braucht eure Mithilfe"", heißt es in einem Artikel auf der Seite ""Eilmeldungen.net"". Angeblich werde nach einem fünfjährigen Mädchen gesucht, dass in einem Waldgebiet verschwunden ist. Unter dem Artikel ist als Copyright-Hinweis ""Eilmeldungen since 2019"" (deutsch: Eilmeldungen seit 2019) angegeben.",['https://www.presseportal.de/pm/133833/4532802#37103081ad0685912e90bb1cbba23cb6'],Keine Eilmeldung: Mädchen schon seit 2015 vermisst,"passage: keine eilmeldung: mädchen schon seit 2015 vermisst[sep]""die polizei braucht eure mithilfe"", heißt es in einem artikel auf der seite ""eilmeldungen.net"". angeblich werde nach einem fünfjährigen mädchen gesucht, dass in einem waldgebiet verschwunden ist. unter dem artikel ist als copyright-hinweis ""eilmeldungen since 2019"" (deutsch: eilmeldungen seit 2019) angegeben."
1474,"""Die Toleranz wird ein solches Niveau erreichen, dass intelligenten Menschen das Denken verboten wird, um Idioten nicht zu beleidigen"" ist ein Zitat von Fjodor Dostojewski.","['https://dpa-factchecking.com/germany/220627-99-816002#2a6880e3b7cc2e9f53af4fa1b671ce4a', 'https://dpa-factchecking.com/germany/220627-99-816002/#2a6880e3b7cc2e9f53af4fa1b671ce4a']",Worte Dostojewskis? Keinerlei Belege dafür vorhanden,"passage: worte dostojewskis? keinerlei belege dafür vorhanden[sep]""die toleranz wird ein solches niveau erreichen, dass intelligenten menschen das denken verboten wird, um idioten nicht zu beleidigen"" ist ein zitat von fjodor dostojewski."
1475,"""Diejenigen, die jetzt auf der Intensivstation behandelt werden, die sind im Durchschnitt etwa 47 bis 48 Jahre alt. Das sind Menschen mitten im Leben.""","['https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-werden-corona-intensivpatienten-immer-juenger,SWXLowl#daafe4e8bb39314a6b90e12bbc61e686']",#Faktenfuchs: Werden Corona-Intensivpatienten immer jünger?,"passage: #faktenfuchs: werden corona-intensivpatienten immer jünger?[sep]""diejenigen, die jetzt auf der intensivstation behandelt werden, die sind im durchschnitt etwa 47 bis 48 jahre alt. das sind menschen mitten im leben."""
