post_id,ocr,verdicts,text,lan,fb,tw,ig,full_text,gs
2512,الإمام أحمد الطيب [USER] المليارات التي تصرف على المسلسلات ومنت الساخر CommentSsaser بحجة انها تمثل الواقع لو صرفت على الواقع نفسه لغيرته,False information,,ara,1,0,0,الإمام أحمد الطيب [USER] المليارات التي تصرف على المسلسلات ومنت الساخر CommentSsaser بحجة انها تمثل الواقع لو صرفت على الواقع نفسه لغيرته ,[169089]
2513,"الداعيه الآلي وصول الداعيه الربوت الى الامارات دولة الإمارات تفكر في توظيف ""رجل آلي' كـ خطيب ""جمعة"" ، يتم شحنه بالخطبه المطلوبة ليلقيها على الناس ( بعد ان حاربنا الاصنام ستصبح تخطب في مساجدنا... لا حول ولا قوة الا بالله... اللهم لاتوخذنا بما فعل السفهاء منا يا امة ضحكت من جهلها الأمم. ما شفتوه و محموله CRM الحقوق",False information,,ara,1,0,0,"الداعيه الآلي وصول الداعيه الربوت الى الامارات دولة الإمارات تفكر في توظيف ""رجل آلي' كـ خطيب ""جمعة"" ، يتم شحنه بالخطبه المطلوبة ليلقيها على الناس ( بعد ان حاربنا الاصنام ستصبح تخطب في مساجدنا... لا حول ولا قوة الا بالله... اللهم لاتوخذنا بما فعل السفهاء منا يا امة ضحكت من جهلها الأمم. ما شفتوه و محموله CRM الحقوق ",[167926]
2524,توزيع الكتب في اول يوم دراسي في اليابان -,,,ara,1,0,0,توزيع الكتب في اول يوم دراسي في اليابان - ,[167255]
2530,صورة نادرة لرئيس فرنسا الحالي مع معلمته التي أصبحت زوجته,,,ara,1,0,0,صورة نادرة لرئيس فرنسا الحالي مع معلمته التي أصبحت زوجته ,[171616]
2532,فعلا الحب بيصنع المعجزات رامي شاب عربي عنده 20 سنه وتزوج جيسيكا 80سنة وعندها مصنع سيارات وثروه تصل ل 150 مليون يورو رامي بيقول حبها من اول لحظه من ألمانيا son,False information,,ara,1,0,0,فعلا الحب بيصنع المعجزات رامي شاب عربي عنده 20 سنه وتزوج جيسيكا 80سنة وعندها مصنع سيارات وثروه تصل ل 150 مليون يورو رامي بيقول حبها من اول لحظه من ألمانيا son ,[168268]
2533,في سوريا شباب يتهجمون ع عراقي _ data mosul.alhadbaa,,,ara,0,0,1,في سوريا شباب يتهجمون ع عراقي _ data mosul.alhadbaa ,[164452]
2534,لحفاة من وللـتـك لمدة متك لمدة من متك المذلة من ملاك لحفلة من وات حظة من والـتـك لحظة من وقـتـك لحذاة من م ت ك لجناة من وقتك لحفاة من وقت حمد الله شفت الفكرون بلا قوقعة قبل مانموت حفاة من والـتـك لحظة من وا ك ك الحفاة من ولـك الحطة من وقتك لحفاة من وقت ه ALGERIAN ALGERIAN EAN AR دخلة ----- لحظة من وسسات ALGERIAN ALGERIAN GRBEAM ------- ALGERIAN ALGRBIARL CETOS VA Awww.facebook.com/lahdadz ALGERIAN HA TR ا T -- TE AL -- TA اصمة من وقت ALGERIAN,,,ara,1,0,0,لحفاة من وللـتـك لمدة متك لمدة من متك المذلة من ملاك لحفلة من وات حظة من والـتـك لحظة من وقـتـك لحذاة من م ت ك لجناة من وقتك لحفاة من وقت حمد الله شفت الفكرون بلا قوقعة قبل مانموت حفاة من والـتـك لحظة من وا ك ك الحفاة من ولـك الحطة من وقتك لحفاة من وقت ه ALGERIAN ALGERIAN EAN AR دخلة ----- لحظة من وسسات ALGERIAN ALGERIAN GRBEAM ------- ALGERIAN ALGRBIARL CETOS VA Awww.facebook.com/lahdadz ALGERIAN HA TR ا T -- TE AL -- TA اصمة من وقت ALGERIAN ,[164744]
2536,"نـخـيـل تـدمـر لا ينحني) الرجل الراكع الظاهر في الصورة هو عالم أثار سوري يدعى ""خالد الأسعد"" يبلغ من العمر '83' عامًا قطعت رأسه من قبل داعش في '2015' تم احتجازه وتعذيبه لـ مدة شهر، ورفض إخبار داعش بـ مكان كنوز تدمر القديمة بعد أن وضعها في مكان آمن حتی وفاته. آخر كلمة قالها: (تـخـيـل تـدمـر لا ينحني) لاإله",False information,,ara,1,0,0,"نـخـيـل تـدمـر لا ينحني) الرجل الراكع الظاهر في الصورة هو عالم أثار سوري يدعى ""خالد الأسعد"" يبلغ من العمر '83' عامًا قطعت رأسه من قبل داعش في '2015' تم احتجازه وتعذيبه لـ مدة شهر، ورفض إخبار داعش بـ مكان كنوز تدمر القديمة بعد أن وضعها في مكان آمن حتی وفاته. آخر كلمة قالها: (تـخـيـل تـدمـر لا ينحني) لاإله ",[170839]
2764,,False information,""" سَنُلْقِي فِي قُلُوبِ الَّذِينَ كَفَرُوا الرُّعْبَ بِمَا أَشْرَكُوا بِاللَّهِ مَا لَمْ يُنَزِّلْ بِهِ سُلْطَانًا ۖ وَمَأْوَاهُمُ النَّارُ ۚ وَبِئْسَ مَثْوَى الظَّالِمِينَ "" صدق الله العظيم . مجموعة من الفرنسيين ينظمون وقفة عزاء للأستاذ الذي استهزء برسول الله صلى الله عليه وسلم فمر شاب مغربي جانبهم وقال #الله_أكبر بصوت مرتفع فهربوا بشكل هستيري من الخوف و الغريب في الأمر يوجد معهم حتى المسلمين والمسلمات في وقفة العزاء .",ara,1,0,0," "" سَنُلْقِي فِي قُلُوبِ الَّذِينَ كَفَرُوا الرُّعْبَ بِمَا أَشْرَكُوا بِاللَّهِ مَا لَمْ يُنَزِّلْ بِهِ سُلْطَانًا ۖ وَمَأْوَاهُمُ النَّارُ ۚ وَبِئْسَ مَثْوَى الظَّالِمِينَ "" صدق الله العظيم . مجموعة من الفرنسيين ينظمون وقفة عزاء للأستاذ الذي استهزء برسول الله صلى الله عليه وسلم فمر شاب مغربي جانبهم وقال #الله_أكبر بصوت مرتفع فهربوا بشكل هستيري من الخوف و الغريب في الأمر يوجد معهم حتى المسلمين والمسلمات في وقفة العزاء .",[167453]
3010,,False information,"""القبلة"" التي تسببت بانهيار النفط..!! يبدو أن هذه ""القبلة"" من ‏هوب هيكس المستشارة الأمريكية ومساعدة #ترامب، المصابة بفيروس #كورونا، هي التي تسببت بنقل الفيروس للرئيس الأمريكي #ترامب ومن ثم الى زوجته #ميلانيا. وبسبب إصابة #ترامب و #ميلانيا بالفيروس، حسب ما أعلنا عبر حساباتهما على مواقع السوشال ميديا، فقد وصل سعر خام برنت الى 39.80 دولار للبرميل، فيما وصل سعر الخام الأمريكي الى 33 دولار ..! #نشأت_الحلبي",ara,1,0,0," ""القبلة"" التي تسببت بانهيار النفط..!! يبدو أن هذه ""القبلة"" من ‏هوب هيكس المستشارة الأمريكية ومساعدة #ترامب، المصابة بفيروس #كورونا، هي التي تسببت بنقل الفيروس للرئيس الأمريكي #ترامب ومن ثم الى زوجته #ميلانيا. وبسبب إصابة #ترامب و #ميلانيا بالفيروس، حسب ما أعلنا عبر حساباتهما على مواقع السوشال ميديا، فقد وصل سعر خام برنت الى 39.80 دولار للبرميل، فيما وصل سعر الخام الأمريكي الى 33 دولار ..! #نشأت_الحلبي",[165580]
3011,,,"""الكرامة"" إنَّه الشَّخصُ الوحيدُ الذي سمح لهُ الله بأن يتواجدَ في بيتهِ وهو عامل النَّظافةِ ليعلمَ الجميعُ أنَّ من يوجد في بيت الله ليس بصاحبِ المنصبِ أو الجاهِ أو المالِ.. فاليوُم حُجبتِ الكعبةُ عن الملوكِ والأغنياءِ ولم تُحجب عن عاملٍ بسيط ٍ ( لمن الملكُ اليوم !!؟..لله الواحدِ القهَّار )",ara,1,0,0," ""الكرامة"" إنَّه الشَّخصُ الوحيدُ الذي سمح لهُ الله بأن يتواجدَ في بيتهِ وهو عامل النَّظافةِ ليعلمَ الجميعُ أنَّ من يوجد في بيت الله ليس بصاحبِ المنصبِ أو الجاهِ أو المالِ.. فاليوُم حُجبتِ الكعبةُ عن الملوكِ والأغنياءِ ولم تُحجب عن عاملٍ بسيط ٍ ( لمن الملكُ اليوم !!؟..لله الواحدِ القهَّار )",[165190]
3875,,False information,#أكثر_صورة_مؤلمة بيروت المذبوحة.. طريق مؤدية الى إحدى المستشفيات في بيروت💔,ara,1,0,0, #أكثر_صورة_مؤلمة بيروت المذبوحة.. طريق مؤدية الى إحدى المستشفيات في بيروت💔,[166673]
3876,,False information,#إسبانيا 🔴 أعمال شغب وتخريب الآن بالعاصمة الكاتلونيا من طرف أنصار نادي #برشلونة بعد إعلان #لونيل_ميسي رحيله عن الفريق,ara,1,0,0, #إسبانيا 🔴 أعمال شغب وتخريب الآن بالعاصمة الكاتلونيا من طرف أنصار نادي #برشلونة بعد إعلان #لونيل_ميسي رحيله عن الفريق,[163334]
3877,فيديو سيصدمكم لاصحاب العقول الراعية و الواعية وليس الغائبة والتافهة #%@$! EJ 24 ل Tik Tok [USER],,#اخبار #ماكرون #فرنسا#ايطاليا #اوروبا #افريقيا #شمال_افريقيا #ليبيا #للعقول_الراقيه #48_ساعة_جدة,ara,0,0,1,فيديو سيصدمكم لاصحاب العقول الراعية و الواعية وليس الغائبة والتافهة #%@$! EJ 24 ل Tik Tok [USER] #اخبار #ماكرون #فرنسا#ايطاليا #اوروبا #افريقيا #شمال_افريقيا #ليبيا #للعقول_الراقيه #48_ساعة_جدة,[168231]
3878,ويعلنون مقاطعتهم له peosi,,#ادمن_حماده [USER].xic3,ara,0,0,1,ويعلنون مقاطعتهم له peosi #ادمن_حماده [USER].xic3,[172274]
3881,,,#الجديد متداول في مواقع اجنبية بعد تسجيل أول حالة كورونا لإمرأة في #كوريا_الشمالية الرئيس جيم كونغ يزورها بدون كمامات يصافحها بدون قفازات ويأمر وزير دفاعه بتجهيز القنبلة #الكهرومغناطيسية ويهدد بإرجاع أمريكا 300 سنة إلى الوراء إن لم يحصل على اللقاح هذا المساء لأنها صانعة الفيروس الشيطان على حد قوله .... نقلا عن موقع Korea today إنها حرب الكبار,ara,1,0,0, #الجديد متداول في مواقع اجنبية بعد تسجيل أول حالة كورونا لإمرأة في #كوريا_الشمالية الرئيس جيم كونغ يزورها بدون كمامات يصافحها بدون قفازات ويأمر وزير دفاعه بتجهيز القنبلة #الكهرومغناطيسية ويهدد بإرجاع أمريكا 300 سنة إلى الوراء إن لم يحصل على اللقاح هذا المساء لأنها صانعة الفيروس الشيطان على حد قوله .... نقلا عن موقع Korea today إنها حرب الكبار,[166524]
3882,,False information,#الرئيس الغيني ألفا كوندي يلكم ويضرب وزير العمال . 😏 #malawi,ara,1,0,0, #الرئيس الغيني ألفا كوندي يلكم ويضرب وزير العمال . 😏 #malawi,[168199]
3883,,False information,#الرئيس بشار الاسد يزور المصابين اللبنانيين في المستشفيات السورية كل الحب والاحترام ❤,ara,1,0,0, #الرئيس بشار الاسد يزور المصابين اللبنانيين في المستشفيات السورية كل الحب والاحترام ❤,[164939]
