post_id,ps_instances,ps_verdicts,fact_check_id,fc_instances,ps_lang,fc_lang,fc_claim_source,fc_claim_target,fc_claim_langs,ps_text_source,ps_text_target,ps_text_langs,fc_title_source,fc_title_target,fc_title_langs,ps_ocr_source,ps_ocr_target,ps_ocr_langs
0,"[(1593519481.0, 'ig')]",,18,"(1594243500.0, 'https://factual.afp.com/el-video-de-una-orquesta-tocando-el-bolero-de-ravel-sobre-el-sena-en-paris-es-de-2017#367fc73ea7c0c5812887632bc66ff2f5')",spa,spa,La filarmónica de París toca el Bolero de Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena,The Paris Philharmonic plays Ravel's Bolero on a platform over the Seine for the lifting of the quarantine,"[('spa', 1.0)]",La Filarmonica de Paris vivenciando un bolero de M Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena,The Philharmonic de Paris experiencing a bolero by M Ravel on a platform over the Seine for the lifting of the quarantine,"[('spa', 1.0)]","El video de una orquesta tocando el Bolero de Ravel sobre el Sena, en París, es de 2017","The video of an orchestra playing Ravel's Bolero on the Seine, in Paris, is from 2017","[('spa', 1.0)]",,,
1,"[(1620729739.0, 'ig')]",Partly False,26,"(1621021140.0, 'https://factcheck.afp.com/census-bureau-voter-tally-self-reported-not-official-election-data#ef1a31ac2b741f5621f5d1e962410144')",eng,eng,Census Bureau confirms conflict in total number of voters in 2020 election,Census Bureau confirms conflict in total number of voters in 2020 election,"[('eng', 1.0)]",,,,"Census Bureau voter tally is self-reported, not official election data","Census Bureau voter tally is self-reported, not official election data","[('eng', 1.0)]","MOM
Imahalo
Patriot news
@Grahmptr
...
....
JUST IN: US Census Bureau
Confirms HUGE CONFLICT in
Total Number of Voters in
2020 Election-More People
Voted Than Reported in 2020
Census Data. there is a
discrepancy of nearly four
million votes","MOM
Imahalo
Patriot news
@Grahmptr
...
....
JUST IN: US Census Bureau
Confirms HUGE CONFLICT in
Total Number of Voters in
2020 Election-More People
Voted Than Reported in 2020
Census Data. there is a
discrepancy of nearly four
million votes","[('eng', 0.9305148124694824), ('fil', 0.03528721258044243)]"
2,"[(1585630842.0, 'fb')]",False information,39,"(1585952220.0, 'https://factual.afp.com/este-edificio-encendido-no-es-la-torre-latinoamericana-de-mexico-sino-el-empire-state-de-nueva-york#ccd19ef3f66db8c859c3c8005061ddff')",spa,spa,La Torre Latinoamericana se ilumina al declararse la emergencia sanitaria en México,The Latin American Tower lights up when the health emergency is declared in Mexico,"[('spa', 1.0)]","Así luce la Torre Latinoamericana de cdmx después de la declaratoria de #EmergenciaSanitaria
Llegó la hora de #quedateencasa
No hagas reuniones
no carnes asadas con tus amigos
es #cuarentena
taggea a quienes no entienden!
#covid19","This is what the CDMX Latin American Tower looks like after the declaration of #HealthEmergency
It's time to #stayhome
don't do meetings
no roast beef with your friends
it's #quarantine
Tag those who don't understand!
#covid19","[('spa', 1.0)]","Este edificio encendido no es la Torre Latinoamericana de México, sino el Empire State de Nueva York","This lit building is not the Latin American Tower in Mexico, but the Empire State Building in New York","[('spa', 1.0)]",,,
3,"[(1648580403.0, 'fb')]",False information,37,"(1552003140.0, 'https://factly.in/no-man-did-not-fake-deaf-and-dumb-for-62-years-the-reason-for-divorce-is-an-illicit-relationship/#6fd1ad62a3e9e46b66808eee878b5cc4')",spa,eng,The man who faked being deaf and dumb for 62 years to avoid listening to his wife is now facing divorce from his wife after she found out the truth.,The man who faked being deaf and dumb for 62 years to avoid listening to his wife is now facing divorce from his wife after she found out the truth.,"[('eng', 1.0)]",El hombre fingió ser sordo y mudo durante 62 años para evitar escuchar a su esposa.,The man pretended to be deaf and dumb for 62 years to avoid listening to his wife.,"[('spa', 1.0)]","No, man did not fake being deaf and dumb for 62 years","No, man did not fake being deaf and dumb for 62 years","[('eng', 1.0)]",,,
4,"[(1515949200.0, 'fb')]",Missing context,30,"(1645529160.0, 'https://factual.afp.com/doc.afp.com.323N6WB#e8f66f3e2c7edb2512dc1d8ebdd3cda5')",spa,spa,Ha fallecido Gabriela Morreale y la prensa ni lo menciona,Gabriela Morreale has passed away and the press doesn't even mention it,"[('spa', 1.0)]","A PESAR DE SUS LOGROS, ESTO NO ES NOTICIA.
Ha fallecido Gabriela Morreale de Castro: bioquímica, precursora de la detección precoz de hipotiroidismo congénito en recién nacidos mediante la prueba del talón. La prensa ni lo menciona.","DESPITE HIS ACHIEVEMENTS, THIS IS NOT NEWS.
Gabriela Morreale de Castro has passed away: biochemist, precursor of the early detection of congenital hypothyroidism in newborns through the heel prick test. The press doesn't even mention it.","[('spa', 1.0)]","La científica Morreale murió en 2017 y la prensa sí informó, contrario a lo dicho en redes","The scientist Morreale died in 2017 and the press did report, contrary to what was said on networks","[('spa', 1.0)]",,,
5,"[(1656816124.0, 'fb')]",Altered photo/video.,2,"(1657251780.0, 'https://factcheck.afp.com/doc.afp.com.32DU27A#eaa4601d2d5eefd6d0e6a685cee1c657')",kor,eng,"Photos show NATO leaders in Madrid, Spain","Photos show NATO leaders in Madrid, Spain","[('eng', 1.0)]","스페인 마드리드에서 열린 NATO 정상회의. 우연은 없다; 이 ""기괴한 예술""의 본질은 당신에게 무엇을 말해주는가?","NATO Summit in Madrid, Spain. There is no coincidence; What does the nature of this ""bizarre art"" tell you?","[('kor', 1.0)]",Doctored photos of world leaders with 'Satanic art' made by artist to criticise power,Doctored photos of world leaders with 'Satanic art' made by artist to criticise power,"[('eng', 1.0)]",,,
6,"[(1608091401.0, 'fb')]",False information,16,"(1608249540.0, 'https://healthfeedback.org/claimreview/the-american-medical-association-does-not-reject-nor-support-hydroxychloroquine-as-a-treatment-for-covid-19-nor-did-it-change-its-position-on-the-use-matter/#82043a81c975548cfd63ba8f15be4769')",eng,eng,"The AMA “reversed course”, now “giving the green light to doctors prescribing HCQ to their COVID patients.”","The AMA “reversed course”, now “giving the green light to doctors prescribing HCQ to their COVID patients.”","[('eng', 1.0)]",I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president.,I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president.,"[('eng', 1.0)]","The American Medical Association does not reject nor support hydroxychloroquine as a treatment for COVID-19, nor did it change its position on the use matter","The American Medical Association does not reject nor support hydroxychloroquine as a treatment for COVID-19, nor did it change its position on the use matter","[('eng', 1.0)]",,,
7,"[(1645240405.0, 'fb')]",False information,28,"(1647404520.0, 'https://factcheck.afp.com/doc.afp.com.324P2DC#14376e8d12419109c681a7425390ee9b')",kor,eng,Covid-19 vaccines alter human DNA,Covid-19 vaccines alter human DNA,"[('eng', 1.0)]","<트랜스휴먼 : 유전자변형, 하이브리드 잡종, 인간개조>

코로나백신 접종은 인류에 대한 천인공로할 유전자변형 생체실험입니다","<Transhuman: genetic modification, hybrid hybrid, human modification>

Corona vaccine inoculation is a genetically modified biological experiment that will be a blessing to mankind","[('kor', 1.0)]",False posts that Covid vaccines alter DNA share pre-pandemic photo,False posts that Covid vaccines alter DNA share pre-pandemic photo,"[('eng', 1.0)]",,,
8,"[(1612380187.0, 'fb'), (1612450113.0, 'fb'), (1604783176.0, 'fb')]",False information,44,"(1616525280.0, 'https://factual.afp.com/la-cita-sobre-el-exito-de-la-esclavitud-no-es-de-aristoteles-y-no-refleja-su-pensamiento#f591c3c3f7c080fa595004d9856736da')",spa,spa,"Cita de Aristóteles: ""La esclavitud nunca tiene tanto éxito como cuando el esclavo está convencido de que es por su propio bien""","Aristotle Quote: ""Slavery is never so successful as when the slave is convinced that it is for his own good""","[('spa', 1.0)]",,,,La cita sobre el “éxito” de la esclavitud no es de Aristóteles y no refleja su pensamiento,"The quote about the ""success"" of slavery is not from Aristotle and does not reflect his thinking","[('spa', 1.0)]","""La esclavitud
nunca tiene tanto
éxito como
cuando el esclavo
está convencido
de que es por su
propio bien"" -
Aristóteles","""Slavery
never have so much
success as
when the slave
Is conviced
that it is for your
own good"" -
Aristotle","[('spa', 0.891075074672699), ('por', 0.10892493277788162)]"
9,"[(1648956190.0, 'fb')]",False information,8,"(1604050440.0, 'https://factcheck.afp.com/facebook-post-about-eco-friendly-hotel-singapore-was-not-shared-verified-account-sir-david#4c419aa64a14a5ac63ab65c6775fccd4')",spa,eng,Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook,Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook,"[('eng', 1.0)]",Eco edificio en Singapur 🇸🇬 el primero en producir su propia electricidad con los mismos desechos del mismo edificio,Eco building in Singapore 🇸🇬 the first to produce its own electricity with the same waste from the same building,"[('spa', 1.0)]",This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough,This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough,"[('eng', 1.0)]",,,
