post_id,ocr,verdicts,text,lan,fb,tw,ig,full_text,gs
132,"1,4 Juta Warga China Ikut Tes PNS 2021, Persaingan Superketat Jumlah warga China yang jadi... [URL] SETELAH JUTAAN TKA SENGAJA DIDATANGKAN DARI CINA, KINI LOWONGAN KERJA PNS DIKASIHKAN JUGA. LENGKAP SUDAH SKENARIO PENYERAHAN KEDAULATAN KE CINA DITAMBAH PEMINDAHAN IBUKOTA NEGARA. Astagfirullah warga china dikasih kesempatan utk jadi PNS, padahal rakyat Indonesia sendiri masih banyak nganggur ! Yaa Allah cabutlah dan runtuhkanlah segera rezim ini [URL] Ketik pesan",False information,,msa,1,0,0,"1,4 Juta Warga China Ikut Tes PNS 2021, Persaingan Superketat Jumlah warga China yang jadi... [URL] SETELAH JUTAAN TKA SENGAJA DIDATANGKAN DARI CINA, KINI LOWONGAN KERJA PNS DIKASIHKAN JUGA. LENGKAP SUDAH SKENARIO PENYERAHAN KEDAULATAN KE CINA DITAMBAH PEMINDAHAN IBUKOTA NEGARA. Astagfirullah warga china dikasih kesempatan utk jadi PNS, padahal rakyat Indonesia sendiri masih banyak nganggur ! Yaa Allah cabutlah dan runtuhkanlah segera rezim ini [URL] Ketik pesan ",[84718]
144,"10:14 AM ...0.0KB/s Instagram 83 Σ a Liked by teluuur and 23,443 others jrxsid 1 Agustus 2020, jutaan warga Jerman turun ke jalan menolak kemerdekaannya dirampas dengan dalih virus sepele. Kenapa menolak wajib masker? Karena jika menerimanya begitu saja, maka kita akan dipertemukan dgn kewajiban baru lagi; wajib vaksin. Jika wajib vaksin berhasil maka akan disusul dgn wajib ini wajib itu hingga kita benar-benar 100% di bawah kontrol ""mereka"".",False information,,msa,1,0,0,"10:14 AM ...0.0KB/s Instagram 83 Σ a Liked by teluuur and 23,443 others jrxsid 1 Agustus 2020, jutaan warga Jerman turun ke jalan menolak kemerdekaannya dirampas dengan dalih virus sepele. Kenapa menolak wajib masker? Karena jika menerimanya begitu saja, maka kita akan dipertemukan dgn kewajiban baru lagi; wajib vaksin. Jika wajib vaksin berhasil maka akan disusul dgn wajib ini wajib itu hingga kita benar-benar 100% di bawah kontrol ""mereka"". ","[59494, 59530]"
191,"15:00 0.00 461 0 KB/S 245 t, t 据交警朋友的消息,已经有6名车主 报了警,如果有人拿着名片敲你的车 窗问路。 请不要打开你的车窗,因为 名片下面有刀具,用来刮伤受害者的 脸并抢劫。 请小心! 请转发此消 息! 也请发给不开车的朋友,为开车 的朋友着想! 上午 6:52 Tadi, menurut maklumat yang diterima daripada kawan polis trafik, sudah ada enam pemilik kereta membuat laporan polis, jika ada seseorang memegang kad nama dan mengetuk di tingkap kereta anda meminta arah. Sila jangan buka tingkap kereta anda, kerana terdapat pemotong diletakkan di bawah kad nama yang digunakan untuk mencakar muka mangsa dan merompak. Sila berhati-hati! Sila sampaikan mesej ini! Sila juga menghantar kepada mereka yang tidak memandu demi rakan-rakan Just now according to info received from a traffic police friend, there are already six car owners made police reports, if there is someone holding a name card and knock at your car window asking for direction Please do not open your car window. SC",False information and graphic content,,msa,1,0,0,"15:00 0.00 461 0 KB/S 245 t, t 据交警朋友的消息,已经有6名车主 报了警,如果有人拿着名片敲你的车 窗问路。 请不要打开你的车窗,因为 名片下面有刀具,用来刮伤受害者的 脸并抢劫。 请小心! 请转发此消 息! 也请发给不开车的朋友,为开车 的朋友着想! 上午 6:52 Tadi, menurut maklumat yang diterima daripada kawan polis trafik, sudah ada enam pemilik kereta membuat laporan polis, jika ada seseorang memegang kad nama dan mengetuk di tingkap kereta anda meminta arah. Sila jangan buka tingkap kereta anda, kerana terdapat pemotong diletakkan di bawah kad nama yang digunakan untuk mencakar muka mangsa dan merompak. Sila berhati-hati! Sila sampaikan mesej ini! Sila juga menghantar kepada mereka yang tidak memandu demi rakan-rakan Just now according to info received from a traffic police friend, there are already six car owners made police reports, if there is someone holding a name card and knock at your car window asking for direction Please do not open your car window. SC ",[77511]
197,"17 Apa 1 Indonesia sakit tenggorokan, meriang dan demam, pala pusying, badan linu² ?? net mechanics Tik Tok [USER]",False information,,msa,1,0,0,"17 Apa 1 Indonesia sakit tenggorokan, meriang dan demam, pala pusying, badan linu² ?? net mechanics Tik Tok [USER] ",[142617]
230,2020 DR. Anies Rasyid Baswedan dinobatkan mnjadi Gubernur terbaik dunia. Rakyat Indonesia patut bangga masih ada figur pemimpin terbaik di Indonesia. Tom For Fil LA HOT HD LE BOX 17 Find Bey fles 150 DZOR EN EXA 43500,,,msa,1,0,0,2020 DR. Anies Rasyid Baswedan dinobatkan mnjadi Gubernur terbaik dunia. Rakyat Indonesia patut bangga masih ada figur pemimpin terbaik di Indonesia. Tom For Fil LA HOT HD LE BOX 17 Find Bey fles 150 DZOR EN EXA 43500 ,[64021]
255,"2:00 PM facebook ... 0.0KB/sill Arief Smansa Fadhillah 9 Jun at 9:44 am. ✪ 89 111 60 = Jika dalam 2 minggu ke depan rakyat Amerika yg melanggar PSBB tidak jadi mayat yg berserakan di jalanan, maka saya yakin bahwa ketakutan akan Corona itu cuma penipuan yg diciptakan WHO dan di Support oleh Media Massa.",False information,,msa,1,0,0,"2:00 PM facebook ... 0.0KB/sill Arief Smansa Fadhillah 9 Jun at 9:44 am. ✪ 89 111 60 = Jika dalam 2 minggu ke depan rakyat Amerika yg melanggar PSBB tidak jadi mayat yg berserakan di jalanan, maka saya yakin bahwa ketakutan akan Corona itu cuma penipuan yg diciptakan WHO dan di Support oleh Media Massa. ",[59768]
262,"3 SEBAGAI BAHASA RESMI KEDUA DI VIETNAM • Pada Desember 2007, pemerintah daerah Ho Chi Minh City, Vietnam, mengumumkan bahwa Bahasa Indonesia menjadi bahasa kedua secara resmi. • Disana Bahasa Indonesia sejajar dengan Bahasa Inggris, Perancis, dan Jepang. • Setelah itu, beberapa universitas membuka program studi Bahasa Indonesia Ⓒweerasak saeku/shutterstock www.goodnews from indonesia.id O[USER] Good News from Indonesia",False information,,msa,1,0,0,"3 SEBAGAI BAHASA RESMI KEDUA DI VIETNAM • Pada Desember 2007, pemerintah daerah Ho Chi Minh City, Vietnam, mengumumkan bahwa Bahasa Indonesia menjadi bahasa kedua secara resmi. • Disana Bahasa Indonesia sejajar dengan Bahasa Inggris, Perancis, dan Jepang. • Setelah itu, beberapa universitas membuka program studi Bahasa Indonesia Ⓒweerasak saeku/shutterstock www.goodnews from indonesia.id O[USER] Good News from Indonesia ",[29187]
263,3 khusus non muslim PERTAMAX 92 PERTALITE GRATIS BBM dua liter setiap baca syahadat BOCO,,,msa,1,0,0,3 khusus non muslim PERTAMAX 92 PERTALITE GRATIS BBM dua liter setiap baca syahadat BOCO ,[59447]
264,3 khusus non muslim PERTAMAX 92 PERTALITE GRATIS BBM dua liter setiap baca syahadat PERTA,False information,,msa,1,0,0,3 khusus non muslim PERTAMAX 92 PERTALITE GRATIS BBM dua liter setiap baca syahadat PERTA ,[59447]
282,"46 00:20 D Beranda Regular Breastmilk Lansine indozone.id V COVID-19 POSITIVE Breastmilk ||| D MILLI. 18Y Lansinoh D HER'S MILK (1 4G 38 4 www.056 #KAMUHARUSTAU MEMBAHAS SEGALA HAL DARI SELURUH DUNIA ""Positif Covid-19, ASI Wanita Ini Berubah Warna jadi Hijau Neon"" - Tenang saja. Hal ini tidak berbahaya sama sekali & justru menunjukkan keajaiban ASI menurut para pakar. Ibu yang positif Covid-19 memang menghasilkan antibodi Covid-19 di dalam ASI untuk melindungi bayi. 209 15-44 MOTHES ALK 85.804 suka indozone.id Baru-baru ini, seorang ibu muda dari Meksiko mengaku mengalami efek samp... selengkapnya Lihat semua 1.983 komentar INDO ZONE Lansinoh Cavid + (photo/Instagram/ashmiry/Facebook/Anna Cortez) : U",Partly false information,,msa,1,0,0,"46 00:20 D Beranda Regular Breastmilk Lansine indozone.id V COVID-19 POSITIVE Breastmilk ||| D MILLI. 18Y Lansinoh D HER'S MILK (1 4G 38 4 www.056 #KAMUHARUSTAU MEMBAHAS SEGALA HAL DARI SELURUH DUNIA ""Positif Covid-19, ASI Wanita Ini Berubah Warna jadi Hijau Neon"" - Tenang saja. Hal ini tidak berbahaya sama sekali & justru menunjukkan keajaiban ASI menurut para pakar. Ibu yang positif Covid-19 memang menghasilkan antibodi Covid-19 di dalam ASI untuk melindungi bayi. 209 15-44 MOTHES ALK 85.804 suka indozone.id Baru-baru ini, seorang ibu muda dari Meksiko mengaku mengalami efek samp... selengkapnya Lihat semua 1.983 komentar INDO ZONE Lansinoh Cavid + (photo/Instagram/ashmiry/Facebook/Anna Cortez) : U ",[148875]
